anid,remote,exam_total
0,#10F037D7,24.5
1,#11B965CD,58
2,#1451551,65
3,#1891A92,63
4,#18AF67D,62
5,#1A5F8BCE,60
6,#1B2DB583,57.5
7,#1DF847A2,69
8,#24052C0D,60.5
9,#245C473F,63
10,#245CBFC7,68
11,#2485BA1B,39
12,#25A970FC,22
13,#26AAF478,68
14,#270A92BF,30
15,#288CA4,55
16,#319EDB74,45
17,#31D4A144,55.5
18,#31D631D6,56
19,#320684B0,62.5
20,#322CD6C8,44
21,#324C423C,25
22,#32878C39,63
23,#329EB21E,39
24,#32A8B329,66.5
25,#32FBD21B,30.5
26,#33233222,72.5
27,#33A70296,62.5
28,#33DF4AA6,31.5
29,#344C80F8,67.5
30,#34A59302,38
31,#34C59E6F,66.5
32,#34CBF10E,57.5
33,#34F333F4,58.5
34,#3518BB96,59.5
35,#358DBC04,67
36,#35F534F4,74.5
37,#3666FFAF,26.5
38,#3668E1BF,54
39,#36AB30AD,53.5
40,#36F273B7,23
41,#3702D9EC,70.5
42,#374BD5A9,42.5
43,#37FF8A42,40.5
44,#380980B1,42
45,#386DD085,48.5
46,#386E9FC9,53.5
47,#386F4512,52
48,#3874662A,47
49,#38786B2B,19.5
50,#388E9127,32
51,#3890EF47,20.5
52,#3ADB24C5,29
53,#3AE5E13E,48.5
54,#3AE95487,43
55,#3AF2C60E,46
56,#3AF2C800,35
57,#3AF3468F,24.5
58,#3AF575BA,68
59,#3AFC8345,44
60,#3AFCD81E,37
61,#3AFD06C1,44
62,#3B013903,43
63,#3B03BF87,64.5
64,#3B03E5DD,43.5
65,#3B045867,51
66,#3B067C41,30.5
67,#3B0B2111,63
68,#3B0C96A1,47.5
69,#3B0D6F59,22.5
70,#3B0D8BBD,61.5
71,#3B0D9AAC,66
72,#3B0DD3E5,64.5
73,#3B0ECFFA,42.5
74,#3B0F784C,66.5
75,#3B0F8CB8,37
76,#3B12FFD6,38.5
77,#3B14A788,40
78,#3B14E3CC,57
79,#3B15D4FA,73.5
80,#3B16CAE7,53.5
81,#3B17173B,60.5
82,#3B171E32,41
83,#3B185B78,66
84,#3B1B4666,33
85,#3B1E6247,46.5
86,#3B21041E,46.5
87,#3B22CAD3,41
88,#3B27FCE0,63.5
89,#3B28EBF8,44.5
90,#3B2A6372,55.5
91,#3B460974,54
92,#3B4C8BFC,55
93,#3B6581DF,68
94,#3BCABB4A,33
95,#3BCB19E9,50
96,#3C21031E,67.5
97,#3C21100D,72
98,#3C2FF1E2,59.5
99,#3C32303E,56
100,#3C491560,46.5
101,#3C5191FC,62
102,#3C5199F4,48
103,#3C53FF90,59
104,#3C5AA4C2,58
105,#3C5C83E3,35.5
106,#3C5CFE9E,69
107,#3C5DCCAD,47.5
108,#3C5E0E6C,61
109,#3C5E0F6D,57.5
110,#3C60BDE1,10
111,#3C60F6AA,65.5
112,#3C611845,66
113,#3C612B76,63.5
114,#3C61326F,74.5
115,#3C62510F,20
116,#3C644119,54
117,#3C653C65,50.5
118,#3C65550C,49
119,#3C65EBB2,55
120,#3C8A9E28,63
121,#3C8AA711,49
122,#3C8AB305,40
123,#3C8E9B29,68
124,#3CAC20B0,37
125,#3CB0DF53,61.5
126,#3CB24FC1,71
127,#3CC4A75F,55.5
128,#3CCC0DFD,43
129,#3CCCE515,53
130,#3CDA6284,45
131,#3D145D74,52.5
132,#3D1EB794,73.5
133,#3D250018,69.5
134,#65A98C4,67.5
135,#8FE8A7C,45.5
136,#951035B,61.5
137,#99D148,55.5
138,#B20E3C8,69
139,#E97BD24,59.5
140,#EA8983E,55
141,#F9FBA2A,46.5
