anid,readingq2,readingq3,readingq4,readingq5,readingq6,readingq7,readingq8
0,0,0,-2,0,0,2,0
1,2,0,0,2,2,2,0
2,2,2,0,0,2,2,0
3,2,2,2,0,2,2,2
4,2,-2,0,0,1,0,0
5,2,2,2,0,2,2,2
6,0,0,0,2,2,2,0
7,2,2,2,2,2,2,2
8,2,0,2,2,0,2,0
9,2,2,2,-2,2,2,2
10,2,2,0,2,2,2,2
11,2,0,-2,0,2,0,2
12,2,0,-2,-2,-2,0,0
13,2,2,-2,0,0,2,2
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,-2,0,2,0,-2
17,2,2,2,0,2,2,2
18,0,2,2,0,0,2,2
19,2,0,2,0,2,2,0
20,2,0,0,0,0,2,0
21,0,0,0,0,2,0,-2
22,0,0,2,0,2,2,0
23,0,0,0,0,2,2,2
24,2,0,2,0,2,2,2
25,2,0,-2,0,2,0,0
26,2,2,2,2,2,2,0
27,2,2,0,-2,2,2,2
28,0,0,-2,0,-1,-2,0
29,2,0,0,0,0,0,2
30,2,0,0,2,2,2,0
31,0,2,0,0,2,2,0
32,2,2,2,0,2,2,2
33,0,2,2,2,0,-2,0
34,0,0,2,0,2,2,-2
35,0,2,2,-2,2,2,2
36,0,2,2,2,2,0,2
37,2,0,2,0,0,2,2
38,2,0,2,0,0,2,2
39,0,2,0,-2,2,0,2
40,2,2,0,-2,0,0,0
41,0,2,2,-2,2,2,2
42,2,2,0,0,1,2,2
43,2,0,-2,1,-2,2,0
44,2,0,0,0,0,0,2
45,2,0,0,-2,-2,2,0
46,2,2,0,0,0,0,-2
47,0,0,0,-2,0,-2,0
48,0,0,2,-2,2,2,-2
49,2,0,-2,0,0,2,0
50,-2,0,-2,-2,0,1,-2
51,-2,0,-2,-2,0,0,0
52,-2,0,-2,0,0,2,-2
53,2,0,0,0,2,2,0
54,0,0,-2,0,0,0,2
55,0,0,0,0,-2,2,2
56,0,2,0,0,2,0,0
57,0,0,0,0,2,0,-2
58,0,2,0,2,0,2,0
59,0,2,2,0,0,0,0
60,0,0,-2,-2,-2,0,2
61,0,2,2,0,0,2,-2
62,2,0,-2,2,2,0,0
63,2,0,2,0,2,0,2
64,0,0,-2,-2,0,-2,0
65,0,0,0,0,2,2,0
66,2,0,0,0,0,2,2
67,2,2,0,0,2,2,2
68,0,0,2,0,2,2,0
69,0,-2,-2,0,-2,0,-2
70,0,0,2,0,0,2,2
71,2,2,2,2,0,2,2
72,0,0,0,0,-2,2,2
73,0,0,-1,-1,-1,-2,0
74,2,2,2,0,0,2,0
75,-2,0,-2,0,2,2,-2
76,-2,-2,2,2,2,2,0
77,2,2,2,0,0,2,-2
78,2,2,2,2,-2,2,2
79,0,2,2,0,0,2,0
80,2,2,2,0,2,2,2
81,0,0,0,0,0,2,0
82,0,2,2,0,1,2,0
83,0,0,0,0,1,2,2
84,0,0,0,0,-2,2,-2
85,0,0,-2,-2,0,2,0
86,2,0,-2,0,0,2,0
87,0,0,0,0,0,0,0
88,0,2,0,0,2,2,0
89,0,2,0,0,2,2,2
90,0,2,0,-2,0,2,0
91,0,0,0,0,0,0,2
92,0,0,0,-2,2,2,-2
93,2,0,2,-2,0,2,0
94,0,0,0,0,2,2,0
95,2,0,0,0,2,0,2
96,0,2,2,2,0,2,2
97,2,0,2,0,2,2,2
98,0,0,0,0,0,2,2
99,0,2,2,0,0,0,2
100,0,0,0,0,0,2,2
101,0,0,0,0,0,2,2
102,-2,2,0,-2,0,2,-2
103,2,2,2,0,2,0,2
104,0,0,0,0,0,0,2
105,0,2,2,0,2,2,2
106,2,2,2,0,2,2,0
107,2,0,0,0,0,2,2
108,2,0,2,0,2,2,0
109,2,0,0,0,2,2,2
110,0,0,0,0,0,0,0
111,2,0,0,0,2,2,0
112,2,0,0,0,2,2,2
113,0,0,2,0,0,2,0
114,2,2,2,2,2,2,2
115,2,-2,-2,0,0,2,-2
116,0,0,0,-2,2,2,0
117,0,0,0,0,0,2,2
118,2,0,0,-2,2,2,0
119,0,0,2,2,0,0,0
120,0,2,2,0,0,2,2
121,0,0,2,0,0,2,2
122,0,0,-2,0,0,2,-2
123,0,0,0,0,0,0,0
124,0,0,-2,-2,2,2,2
125,0,2,0,0,0,2,0
126,0,0,0,0,2,2,2
127,0,0,0,0,0,0,2
128,0,0,-2,-2,2,0,2
129,0,2,-2,0,2,2,0
130,0,-2,-2,-2,0,0,0
131,2,2,2,0,2,2,2
132,0,2,2,0,2,0,0
133,2,2,2,0,2,2,2
134,0,2,2,0,2,2,2
135,2,0,0,0,0,2,2
136,0,2,0,0,2,2,2
137,0,0,2,0,0,2,-2
138,0,2,0,0,2,0,-2
139,2,2,2,0,2,2,0
140,2,0,2,0,2,2,2
141,2,0,2,0,2,2,2
